不大,-1
不大可能,-1
不大可能之事,-1
不太,-1
不太可能,-1
不太相信,-1
不太精準,-1
不太能,-1
不太討人喜歡,-1
不好,-1
不好好,-1
不好惹,-1
不好意思,-1
不好過,-1
不如人,-1
不如人意,-1
不如前兩年亮麗,-1
不如意,-1
不如意事常八九,-1
不如預期,-1
不妊,-1
不妙,-1
不妥,-1
不妥協,-1
不妥當,-1
不存,-1
不存在,-1
不孝,-1
不學無術,-1
不學無識,-1
不守,-1
不守規矩,-1
不安,-1
不安全,-1
不安定,-1
不安寧,-1
不安於室,-1
不安的狀態,-1
不安穩,-1
不完,-1
不完全,-1
不完美,-1
不定,-1
不宜,-1
不客氣,-1
不容,-1
不容易,-1
不容置喙,-1
不容許,-1
不寒而慄,-1
不實,-1
不實在,-1
不寧,-1
不將,-1
不尊重,-1
不尋常,-1
不對,-1
不對勁,-1
不對稱,-1
不對等,-1
不對茬兒,-1
不對頭,-1
不對頭地,-1
不小心,-1
不就,-1
不尷不尬,-1
不屑,-1
不屑一顧,-1
不屑做,-1
不屑於,-1
不履行,-1
不巧,-1
不希望,-1
不干涉,-1
不平,-1
不平均,-1
不平坦,-1
不平常,-1
不平整,-1
不平等,-1
不平等條約,-1
不平衡,-1
不平靜,-1
不幸,-1
不幸之事,-1
不幸事件,-1
不幸喪生,-1
不幸的人,-1
不幸的是,-1
不幸罹難,-1
不廉,-1
不建,-1
不引人注意,-1
不強,-1
不強迫,-1
不彰,-1
不待見,-1
不很樂觀,-1
不得,-1
不得不如此,-1
不得交保,-1
不得人心,-1
不得其所,-1
不得其死,-1
不得力,-1
不得勁,-1
不得善終,-1
不得已,-1
不得志,-1
不得檢查,-1
不得要領,-1
不得超過,-1
不得養老,-1
不從,-1
不復,-1
不復之境地,-1
不復堪命,-1
不復見,-1
不必,-1
不必當真,-1
不必要,-1
不忍卒睹,-1
不忘故舊,-1
不忠,-1
不忠實,-1
不快,-1
不快樂,-1
不忿,-1
不怎麼樣,-1
不怕死,-1
不恤,-1
不恥,-1
不恰當,-1
不恰當地,-1
不悅,-1
不悅之色,-1
不悅耳,-1
不情之請,-1
不情願,-1
不想,-1
不想成為,-1
不想要,-1
不愉快,-1
不愉快的事,-1
不意味,-1
不愛,-1
不感到,-1
不慎,-1
不懂,-1
不懂事,-1
不懂人情世故,-1
不應,-1
不應構成,-1
不應該,-1
不懷,-1
不懷好意,-1
不懼,-1
不成,-1
不成功,-1
不成器,-1
